Adam Thielen,1
Mike Evans,1
JuJu Smith-Schuster,0
Albert Wilson,0
Odell Beckham Jr.,0
Jarvis Landry,0
Courtland Sutton,0
Mohamed Sanu,0
Emmanuel Sanders,1
Tyler Boyd,0
Amari Cooper,1
Robert Woods,1
Michael Thomas,1
Marvin Jones,1
Anthony Miller,1
John Brown,0
Tyreek Hill,0
Julio Jones,1
Tre'Quan Smith,1
DeAndre Hopkins,1
Tyrell Williams,0
Dante Pettis,1
DeSean Jackson,1
Cooper Kupp,1
Alshon Jeffery,1
Julian Edelman,0
Josh Gordon,0
Donte Moncrief,0
Stefon Diggs,0
Brandin Cooks,0
Sammy Watkins,0
Sterling Shepard,1
Christian Kirk,1
Calvin Ridley,1
Larry Fitzgerald,1
Corey Davis,0
Curtis Samuel,1
Robby Anderson,1
Allen Robinson,1
DaeSean Hamilton,0
Davante Adams,1
Dede Westbrook,0
Marquez Valdes-Scantling,1
Will Fuller,0
T.Y. Hilton,0
Geronimo Allison,1
Cole Beasley,0
Michael Gallup,1
Chris Godwin,1
Tyler Lockett,1
Jamison Crowder,0
Keenan Allen,0
D.J. Moore,1
Mike Williams,0
Kenny Golladay,1
Ted Ginn,1
Danny Amendola,1
D.J. Chark,0
Antonio Brown,0
John Ross,0
Terry McLaurin,1
D.K. Metcalf,1
DeVante Parker,0
Trey Quinn,1
J.J. Arcega-Whiteside,1
Deebo Samuel,1
Nelson Agholor,0
Chris Conley,0
Randall Cobb,0
Mecole Hardman,0
Marquise Brown,0
Preston Williams,0
Demarcus Robinson,0
Paul Richardson Jr.,0
Diontae Johnson,0
Kenny Stills,0
Phillip Dorsett,1
James Washington,0
Devin Smith,1
KeeSean Johnson,1
Auden Tate,0
Golden Tate,1
A.J. Brown,0
Willie Snead,0
Keke Coutee,0
Darius Slayton,1
Adam Humphries,0
Marquise Goodwin,1
Allen Lazard,1
Demaryius Thomas,0
Olabisi Johnson,1
Taylor Gabriel,0
Hunter Renfrow,0
Zach Pascal,0
Chester Rogers,0
Josh Reynolds,1
Russell Gage,1
Allen Hurns,0
Breshad Perriman,0
Greg Ward,1
Justin Watson,1
